url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,194,103
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.3.0,67,54
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,14,12
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,11,7
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,8,4
/mmvanheusden/SteamDepotDownloaderGUI/issues,7,5
/mmvanheusden/SteamDepotDownloaderGUI/pulls,6,5
/mmvanheusden/SteamDepotDownloaderGUI/releases,6,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,6,2
/mmvanheusden/SteamDepotDownloaderGUI/tree/master/.github,6,2
