time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-28 00:00:00+00:00,11,7,20,9
2023-03-01 00:00:00+00:00,7,4,26,10
2023-03-02 00:00:00+00:00,8,5,17,9
2023-03-03 00:00:00+00:00,6,5,35,7
2023-03-04 00:00:00+00:00,2,2,23,11
2023-03-05 00:00:00+00:00,2,2,9,3
2023-03-06 00:00:00+00:00,4,3,22,5
2023-03-07 00:00:00+00:00,4,3,29,13
2023-03-08 00:00:00+00:00,11,6,35,10
2023-03-09 00:00:00+00:00,4,3,15,7
2023-03-10 00:00:00+00:00,4,3,30,9
2023-03-11 00:00:00+00:00,1,1,9,5
2023-03-12 00:00:00+00:00,4,4,39,9
2023-03-13 00:00:00+00:00,7,6,15,7
