url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,289,174
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.4.1,130,81
/mmvanheusden/SteamDepotDownloaderGUI/releases,30,19
/mmvanheusden/SteamDepotDownloaderGUI/issues,24,15
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,15,11
/mmvanheusden/SteamDepotDownloaderGUI/tree/v2.2.0,13,1
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,12,4
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,11,8
/mmvanheusden/SteamDepotDownloaderGUI/pulls,9,8
/mmvanheusden/SteamDepotDownloaderGUI/pull/157,8,7
