url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,119,83
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.1,89,44
/mmvanheusden/SteamDepotDownloaderGUI/releases,18,14
/mmvanheusden/SteamDepotDownloaderGUI/issues,15,7
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,11,9
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,7,6
/mmvanheusden/SteamDepotDownloaderGUI/search,5,3
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/index.html,5,2
/mmvanheusden/SteamDepotDownloaderGUI/pulls,4,4
/mmvanheusden/SteamDepotDownloaderGUI/discussions,3,3
