url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,98,61
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,50,37
/mmvanheusden/SteamDepotDownloaderGUI/releases,14,9
/mmvanheusden/SteamDepotDownloaderGUI/tags,13,2
/mmvanheusden/SteamDepotDownloaderGUI/issues,4,3
/mmvanheusden/SteamDepotDownloaderGUI/tree/github-repo-stats,4,2
/mmvanheusden/SteamDepotDownloaderGUI/compare/v2.0.6...v2.1.0,3,3
/mmvanheusden/SteamDepotDownloaderGUI/discussions,3,3
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,3,2
/mmvanheusden/SteamDepotDownloaderGUI/commits/master,3,2
