url_path,views_total,views_unique
/mmvanheusden/SteamDepotDownloaderGUI,148,91
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.2.0,87,50
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/screenshot.png,10,4
/mmvanheusden/SteamDepotDownloaderGUI/issues,9,4
/mmvanheusden/SteamDepotDownloaderGUI/issues/new,7,5
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/downloader.js,7,3
/mmvanheusden/SteamDepotDownloaderGUI/releases/tag/v2.1.0,7,3
/mmvanheusden/SteamDepotDownloaderGUI/blob/master/main.js,6,2
/mmvanheusden/SteamDepotDownloaderGUI/pulls,5,3
/mmvanheusden/SteamDepotDownloaderGUI/releases,4,4
