time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-04 00:00:00+00:00,16,8,60,17
2023-11-05 00:00:00+00:00,3,2,49,14
2023-11-06 00:00:00+00:00,7,7,17,12
2023-11-07 00:00:00+00:00,7,6,71,14
2023-11-08 00:00:00+00:00,13,7,27,7
2023-11-09 00:00:00+00:00,12,8,17,8
2023-11-10 00:00:00+00:00,2,2,16,11
2023-11-11 00:00:00+00:00,15,10,41,10
2023-11-12 00:00:00+00:00,15,8,41,23
2023-11-13 00:00:00+00:00,24,11,17,11
2023-11-14 00:00:00+00:00,40,16,25,7
2023-11-15 00:00:00+00:00,7,7,30,10
2023-11-16 00:00:00+00:00,3,3,23,8
2023-11-17 00:00:00+00:00,4,3,14,6
