time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-08 00:00:00+00:00,6,4,12,8
2023-06-09 00:00:00+00:00,6,4,18,7
2023-06-10 00:00:00+00:00,4,3,9,5
2023-06-11 00:00:00+00:00,4,3,28,7
2023-06-12 00:00:00+00:00,7,5,22,5
2023-06-13 00:00:00+00:00,3,2,4,3
2023-06-14 00:00:00+00:00,9,5,15,8
2023-06-15 00:00:00+00:00,5,3,8,3
2023-06-16 00:00:00+00:00,8,6,6,4
2023-06-17 00:00:00+00:00,5,3,32,11
2023-06-18 00:00:00+00:00,4,3,9,4
2023-06-19 00:00:00+00:00,7,5,14,7
2023-06-20 00:00:00+00:00,6,4,14,5
2023-06-21 00:00:00+00:00,5,2,29,10
